fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124188,2024-02-01 11:00:00,2024-02-01 11:00:00,1,-2.00306,long|phase_early_confirmation|compression_high|trigger_firm|fresh_fresh|low_decay|europe_morning,17247.2,17239.72,17239.72,17257.49,-8.88,1,stop,4.0,16.9,1.4
rw_001,124233,2024-02-01 14:45:00,2024-02-01 14:45:00,1,-1.987177,long|phase_trigger|compression_high|trigger_strong|fresh_new|low_decay|us_overlap,17255.85,17248.77,17248.77,17265.59,-8.48,1,stop,3.25,7.45,1.4
rw_001,124254,2024-02-01 16:30:00,2024-02-01 16:30:00,-1,-1.984019,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|us_overlap,17203.5,17212.39,17212.39,17191.27,-8.89,1,stop,13.2,25.9,0.0
rw_001,124264,2024-02-01 17:20:00,2024-02-01 17:20:00,1,-1.98127,long|phase_early_confirmation|compression_low|trigger_soft|fresh_new|mid_decay|late_session,17232.0,17218.94,17218.94,17249.95,-13.06,1,stop,2.8,23.65,0.0
rw_001,124271,2024-02-01 17:55:00,2024-02-01 18:00:00,-1,-1.897948,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,17185.1,17164.69,17199.95,17164.69,20.41,2,target,25.35,5.65,0.0
rw_001,124286,2024-02-01 19:10:00,2024-02-01 19:15:00,1,-1.798872,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,17280.3,17261.99,17261.99,17305.48,-18.31,2,stop,6.6,19.8,0.0
rw_001,124294,2024-02-01 19:50:00,2024-02-01 19:55:00,1,-1.763138,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,17277.45,17302.68,17259.1,17302.68,23.83,2,target,31.0,10.45,1.4
rw_001,124301,2024-02-01 20:25:00,2024-02-01 20:35:00,1,-1.7735,long|phase_early_confirmation|compression_low|trigger_soft|fresh_fresh|mid_decay|late_session,17269.2,17248.93,17248.93,17297.07,-20.72,3,stop,27.8,32.55,0.45
rw_001,124422,2024-02-02 07:30:00,2024-02-02 07:30:00,1,-2.012374,long|phase_trigger|compression_high|trigger_strong|fresh_new|mid_decay|early_session,17522.65,17518.8,17518.8,17527.94,-4.1,1,stop,0.35,7.55,0.25
rw_001,124509,2024-02-02 14:45:00,2024-02-02 14:45:00,1,-1.981274,long|phase_early_confirmation|compression_high|trigger_soft|fresh_new|low_decay|us_overlap,17541.95,17535.23,17535.23,17551.19,-8.12,1,stop,0.3,9.8,1.4
rw_001,124523,2024-02-02 15:55:00,2024-02-02 15:55:00,-1,-2.010862,short|phase_trigger|compression_low|trigger_strong|fresh_fresh|low_decay|us_overlap,17416.25,17403.26,17425.7,17403.26,11.59,1,target,28.95,3.65,1.4
rw_001,124529,2024-02-02 16:25:00,2024-02-02 16:25:00,-1,-1.974449,short|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|us_overlap,17392.5,17403.46,17403.46,17377.43,-10.96,1,stop,0.0,20.5,0.0
rw_001,124551,2024-02-02 18:15:00,2024-02-02 18:30:00,1,-1.800864,long|phase_early_confirmation|compression_low|trigger_soft|fresh_fresh|low_decay|late_session,17554.25,17583.01,17533.33,17583.01,27.36,4,target,34.75,19.25,1.4
rw_001,124559,2024-02-02 18:55:00,2024-02-02 19:25:00,1,-1.744505,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,17615.0,17645.47,17592.84,17645.47,29.07,7,target,39.15,19.05,1.4
rw_001,124568,2024-02-02 19:40:00,2024-02-02 19:40:00,1,-1.718259,long|phase_trigger|compression_low|trigger_strong|fresh_new|low_decay|late_session,17657.1,17635.13,17635.13,17687.31,-21.97,1,stop,1.65,81.15,0.0
rw_001,124575,2024-02-02 20:15:00,2024-02-02 20:25:00,1,-1.86565,long|phase_early_confirmation|compression_low|trigger_soft|fresh_fresh|mid_decay|late_session,17630.6,17608.27,17608.27,17661.31,-22.48,3,stop,11.7,37.15,0.15
rw_001,124742,2024-02-05 11:15:00,2024-02-05 11:15:00,1,-2.018944,long|phase_early_confirmation|compression_high|trigger_soft|fresh_fresh|low_decay|europe_morning,17628.05,17622.43,17622.43,17635.77,-7.02,1,stop,0.0,18.7,1.4
