fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124200,2024-02-01 12:00:00,2024-02-01 12:10:00,1,-2.09954,long|tick_participation_pressure,17226.8,17238.63,17218.2,17238.63,10.43,3,target,18.15,4.55,1.4
rw_001,124208,2024-02-01 12:40:00,2024-02-01 13:10:00,1,-2.040721,long|tick_participation_pressure,17241.95,17233.07,17233.07,17254.16,-10.28,7,stop,11.5,10.6,1.4
rw_001,124220,2024-02-01 13:40:00,2024-02-01 13:50:00,1,-2.10111,long|tick_participation_pressure,17234.85,17226.92,17226.92,17245.75,-9.33,3,stop,1.2,13.4,1.4
rw_001,124232,2024-02-01 14:40:00,2024-02-01 14:45:00,1,-2.121393,long|tick_participation_pressure,17246.3,17256.23,17239.08,17256.23,8.53,2,target,12.8,0.0,1.4
rw_001,124284,2024-02-01 19:00:00,2024-02-01 19:00:00,-1,-2.071808,short|tick_participation_pressure,17220.3,17238.28,17238.28,17195.58,-19.38,1,stop,1.75,34.6,1.4
rw_001,124293,2024-02-01 19:45:00,2024-02-01 19:45:00,-1,-2.059696,short|tick_participation_pressure,17241.45,17259.89,17259.89,17216.09,-19.84,1,stop,0.75,37.65,1.4
rw_001,124301,2024-02-01 20:25:00,2024-02-01 20:35:00,1,-2.07066,long|tick_participation_pressure,17269.2,17248.93,17248.93,17297.07,-20.72,3,stop,27.8,32.55,0.45
rw_001,124308,2024-02-01 21:00:00,2024-02-01 21:05:00,1,-2.073868,long|tick_participation_pressure,17270.75,17298.24,17250.75,17298.24,27.09,2,target,29.7,1.75,0.4
rw_001,124427,2024-02-02 07:55:00,2024-02-02 08:00:00,-1,-2.105184,short|tick_participation_pressure,17515.35,17510.25,17519.06,17510.25,3.7,2,target,9.2,1.6,1.4
rw_001,124475,2024-02-02 11:55:00,2024-02-02 11:55:00,1,-2.124701,long|tick_participation_pressure,17513.25,17506.56,17506.56,17522.46,-8.09,1,stop,2.9,6.8,1.4
rw_001,124492,2024-02-02 13:20:00,2024-02-02 14:05:00,-1,-2.124384,short|tick_participation_pressure,17517.25,17507.55,17524.3,17507.55,8.3,10,target,9.9,6.45,1.4
rw_001,124557,2024-02-02 18:45:00,2024-02-02 19:25:00,1,-2.056832,long|tick_participation_pressure,17599.65,17629.99,17577.58,17629.99,29.99,9,target,54.5,4.65,0.35
rw_001,124577,2024-02-02 20:25:00,2024-02-02 20:25:00,1,-2.069586,long|tick_participation_pressure,17635.6,17613.09,17613.09,17666.54,-23.16,1,stop,1.8,42.15,0.65
rw_001,124584,2024-02-02 21:00:00,2024-02-02 21:10:00,1,-2.018964,long|tick_participation_pressure,17632.05,17661.33,17610.75,17661.33,27.93,3,target,33.85,1.7,1.35
rw_001,124702,2024-02-05 07:55:00,2024-02-05 08:00:00,1,-2.115866,long|tick_participation_pressure,17594.6,17599.59,17590.97,17599.59,3.59,2,target,10.4,0.25,1.4
rw_001,124715,2024-02-05 09:00:00,2024-02-05 09:00:00,-1,-2.132671,short|tick_participation_pressure,17600.3,17603.77,17603.77,17595.52,-3.72,1,stop,2.7,4.9,0.25
rw_001,124757,2024-02-05 12:30:00,2024-02-05 12:30:00,1,-2.090122,long|tick_participation_pressure,17609.75,17618.69,17603.24,17618.69,7.54,1,target,13.35,0.0,1.4
rw_001,124768,2024-02-05 13:25:00,2024-02-05 13:45:00,-1,-2.111459,short|tick_participation_pressure,17624.85,17615.27,17631.82,17615.27,8.23,5,target,13.2,2.1,1.35
rw_001,124829,2024-02-05 18:30:00,2024-02-05 18:30:00,1,-2.095096,long|tick_participation_pressure,17516.95,17536.74,17502.56,17536.74,18.44,1,target,30.95,0.7,1.35
rw_001,124839,2024-02-05 19:20:00,2024-02-05 19:30:00,-1,-2.040099,short|tick_participation_pressure,17584.3,17600.07,17600.07,17562.62,-16.47,3,stop,10.55,18.75,0.7
rw_001,124847,2024-02-05 20:00:00,2024-02-05 20:10:00,-1,-2.04997,short|tick_participation_pressure,17600.35,17616.7,17616.7,17577.87,-17.75,3,stop,13.95,25.4,1.4
rw_001,124858,2024-02-05 20:55:00,2024-02-05 21:10:00,1,-2.034209,long|tick_participation_pressure,17592.9,17614.57,17577.14,17614.57,20.27,4,target,22.45,10.15,1.4
rw_001,124967,2024-02-06 07:00:00,2024-02-06 07:00:00,-1,-2.121573,short|tick_participation_pressure,17645.4,17648.64,17648.64,17640.95,-4.64,1,stop,0.0,12.9,1.4
rw_001,124986,2024-02-06 08:35:00,2024-02-06 08:40:00,1,-2.129999,long|tick_participation_pressure,17639.8,17644.43,17636.43,17644.43,3.23,2,target,6.35,2.1,1.4
rw_001,125041,2024-02-06 13:10:00,2024-02-06 13:15:00,-1,-2.097702,short|tick_participation_pressure,17641.4,17632.82,17647.64,17632.82,7.18,2,target,10.85,2.05,1.4
rw_001,125106,2024-02-06 18:35:00,2024-02-06 18:35:00,1,-2.108269,long|tick_participation_pressure,17557.95,17543.36,17543.36,17578.01,-14.89,1,stop,0.5,20.1,0.3
rw_001,125115,2024-02-06 19:20:00,2024-02-06 19:20:00,1,-2.109339,long|tick_participation_pressure,17486.45,17469.96,17469.96,17509.12,-17.89,1,stop,0.0,18.7,1.4
rw_001,125122,2024-02-06 19:55:00,2024-02-06 20:00:00,-1,-2.043869,short|tick_participation_pressure,17495.25,17513.38,17513.38,17470.31,-19.53,2,stop,0.4,19.4,1.4
rw_001,125129,2024-02-06 20:30:00,2024-02-06 20:35:00,-1,-2.037775,short|tick_participation_pressure,17515.45,17534.53,17534.53,17489.21,-20.48,2,stop,4.6,22.55,1.4
