fold_id,signal_time,entry_time,exit_time,direction,score,entry_price,exit_price,stop_price,target_price,bars_held,exit_reason
rw_001,2024.02.01 06:20:00,2024.02.01 06:25:00,2024.02.01 06:45:00,long,-1.860065,17216.75,17211.48,17211.48,17224.0,5,stop
rw_001,2024.02.01 12:25:00,2024.02.01 12:30:00,2024.02.01 13:00:00,short,-1.83738,17240.5,17249.51,17249.51,17228.11,7,stop
rw_001,2024.02.01 13:45:00,2024.02.01 13:50:00,2024.02.01 14:05:00,short,-1.866583,17228.95,17236.66,17236.66,17218.34,4,stop
rw_001,2024.02.01 14:30:00,2024.02.01 14:35:00,2024.02.01 14:40:00,short,-1.863019,17242.3,17249.61,17249.61,17232.25,2,stop
rw_001,2024.02.01 18:55:00,2024.02.01 19:00:00,2024.02.01 19:00:00,short,-1.84633,17220.3,17238.28,17238.28,17195.58,1,stop
rw_001,2024.02.01 19:35:00,2024.02.01 19:40:00,2024.02.01 19:45:00,short,-1.837369,17238.55,17257.34,17257.34,17212.71,2,stop
rw_001,2024.02.01 20:20:00,2024.02.01 20:25:00,2024.02.01 20:30:00,short,-1.852929,17269.2,17289.47,17289.47,17241.33,2,stop
rw_001,2024.02.01 20:50:00,2024.02.01 20:55:00,2024.02.01 21:05:00,short,-1.827226,17273.55,17293.63,17293.63,17245.94,3,stop
rw_001,2024.02.02 11:50:00,2024.02.02 11:55:00,2024.02.02 12:05:00,short,-1.869229,17513.25,17504.04,17519.94,17504.04,3,target
rw_001,2024.02.02 12:50:00,2024.02.02 12:55:00,2024.02.02 13:00:00,short,-1.873072,17519.8,17510.13,17526.83,17510.13,2,target
rw_001,2024.02.02 13:35:00,2024.02.02 13:40:00,2024.02.02 14:15:00,short,-1.868081,17516.95,17523.97,17523.97,17507.3,8,stop
rw_001,2024.02.02 18:20:00,2024.02.02 18:25:00,2024.02.02 18:25:00,short,-1.83188,17549.6,17570.86,17570.86,17520.37,1,stop
rw_001,2024.02.02 19:05:00,2024.02.02 19:10:00,2024.02.02 19:20:00,short,-1.827725,17603.4,17625.73,17625.73,17572.7,3,stop
rw_001,2024.02.02 19:35:00,2024.02.02 19:40:00,2024.02.02 19:40:00,short,-1.843835,17657.1,17626.89,17679.07,17626.89,1,target
rw_001,2024.02.02 20:10:00,2024.02.02 20:15:00,2024.02.02 20:25:00,short,-1.859596,17630.6,17599.89,17652.93,17599.89,3,target
rw_001,2024.02.02 20:40:00,2024.02.02 20:45:00,2024.02.02 21:00:00,short,-1.845113,17621.5,17643.73,17643.73,17590.93,4,stop
rw_001,2024.02.05 06:25:00,2024.02.05 06:30:00,2024.02.05 07:00:00,short,-1.841785,17587.8,17592.87,17592.87,17580.83,7,stop
rw_001,2024.02.05 11:40:00,2024.02.05 11:45:00,2024.02.05 11:45:00,short,-1.880738,17603.2,17595.04,17609.14,17595.04,1,target
rw_001,2024.02.05 12:15:00,2024.02.05 12:20:00,2024.02.05 12:25:00,short,-1.878271,17603.2,17609.7,17609.7,17594.26,2,stop
rw_001,2024.02.05 12:45:00,2024.02.05 12:50:00,2024.02.05 12:50:00,short,-1.875988,17620.0,17626.75,17626.75,17610.72,1,stop
rw_001,2024.02.05 14:55:00,2024.02.05 15:00:00,2024.02.05 15:20:00,short,-1.872866,17637.6,17628.09,17644.51,17628.09,5,target
rw_001,2024.02.05 19:10:00,2024.02.05 19:15:00,2024.02.05 19:30:00,short,-1.847565,17579.95,17595.62,17595.62,17558.41,4,stop
rw_001,2024.02.05 19:55:00,2024.02.05 20:00:00,2024.02.05 20:10:00,short,-1.84245,17600.35,17616.7,17616.7,17577.87,3,stop
rw_001,2024.02.05 20:45:00,2024.02.05 20:50:00,2024.02.05 21:10:00,short,-1.825864,17599.1,17615.34,17615.34,17576.77,5,stop
rw_001,2024.02.06 06:20:00,2024.02.06 06:25:00,2024.02.06 06:35:00,long,-1.872178,17638.35,17642.98,17634.98,17642.98,3,target
rw_001,2024.02.06 12:45:00,2024.02.06 12:50:00,2024.02.06 12:50:00,short,-1.858123,17634.8,17641.13,17641.13,17626.09,1,stop
rw_001,2024.02.06 14:55:00,2024.02.06 15:00:00,2024.02.06 15:00:00,short,-1.847455,17611.95,17619.67,17619.67,17601.34,1,stop
rw_001,2024.02.06 16:20:00,2024.02.06 16:25:00,2024.02.06 16:25:00,short,-1.860928,17657.95,17647.44,17665.6,17647.44,1,target
rw_001,2024.02.06 18:25:00,2024.02.06 18:30:00,2024.02.06 18:35:00,short,-1.857817,17562.5,17542.47,17577.07,17542.47,2,target
rw_001,2024.02.06 19:05:00,2024.02.06 19:10:00,2024.02.06 19:20:00,short,-1.849939,17496.1,17473.92,17512.23,17473.92,3,target
rw_001,2024.02.06 20:00:00,2024.02.06 20:05:00,2024.02.06 20:35:00,short,-1.839433,17515.1,17533.55,17533.55,17489.73,7,stop
rw_001,2024.02.06 20:50:00,2024.02.06 20:55:00,2024.02.06 21:05:00,short,-1.820681,17525.7,17501.17,17543.54,17501.17,3,target
rw_001,2024.02.07 07:20:00,2024.02.07 07:25:00,2024.02.07 07:30:00,short,-1.869459,17575.25,17569.7,17579.29,17569.7,2,target
rw_001,2024.02.07 12:25:00,2024.02.07 12:30:00,2024.02.07 12:30:00,short,-1.876876,17591.15,17583.35,17596.82,17583.35,1,target
rw_001,2024.02.07 13:15:00,2024.02.07 13:20:00,2024.02.07 13:20:00,short,-1.883516,17577.95,17583.29,17583.29,17570.61,1,stop
rw_001,2024.02.07 16:15:00,2024.02.07 16:20:00,2024.02.07 16:20:00,short,-1.88248,17672.7,17679.98,17679.98,17662.69,1,stop
rw_001,2024.02.07 19:05:00,2024.02.07 19:10:00,2024.02.07 19:25:00,short,-1.831551,17757.5,17735.19,17773.72,17735.19,4,target
rw_001,2024.02.07 19:45:00,2024.02.07 19:50:00,2024.02.07 19:55:00,short,-1.869493,17714.85,17732.26,17732.26,17690.92,2,stop
rw_001,2024.02.07 20:15:00,2024.02.07 20:20:00,2024.02.07 20:30:00,short,-1.836572,17742.2,17760.73,17760.73,17716.72,3,stop
rw_001,2024.02.07 20:50:00,2024.02.07 20:55:00,2024.02.07 21:45:00,short,-1.824746,17764.7,17762.15,17782.25,17740.57,11,max_hold
rw_001,2024.02.08 11:55:00,2024.02.08 12:00:00,2024.02.08 12:05:00,short,-1.858156,17755.2,17748.87,17759.81,17748.87,2,target
rw_001,2024.02.08 13:00:00,2024.02.08 13:05:00,2024.02.08 13:10:00,short,-1.874779,17745.3,17738.59,17750.18,17738.59,2,target
rw_001,2024.02.08 16:05:00,2024.02.08 16:10:00,2024.02.08 16:20:00,short,-1.888826,17729.3,17735.82,17735.82,17720.34,3,stop
rw_001,2024.02.08 18:15:00,2024.02.08 18:20:00,2024.02.08 18:20:00,short,-1.865078,17783.85,17794.98,17794.98,17768.55,1,stop
rw_001,2024.02.08 18:45:00,2024.02.08 18:50:00,2024.02.08 18:55:00,short,-1.863779,17780.9,17793.13,17793.13,17764.09,2,stop
rw_001,2024.02.08 19:20:00,2024.02.08 19:25:00,2024.02.08 19:25:00,short,-1.845588,17787.45,17800.08,17800.08,17770.08,1,stop
