fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124233,2024-02-01 14:45:00,2024-02-01 14:45:00,1,0.156642,long|trap_tight|inside_close_dense|boundary_pressure_high|breakout_attempt_forceful|false_break_low|expansion_readiness_high|release_body_with|volume_release_with|prior_range_trap_high|session_pressure_mid|spread_high|us_overlap,17255.85,17248.77,17248.77,17265.59,-8.48,1,stop,3.25,7.45,1.4
rw_001,124239,2024-02-01 15:15:00,2024-02-01 15:15:00,-1,0.204504,short|trap_compressed|inside_close_dense|boundary_pressure_high|breakout_attempt_forceful|false_break_low|expansion_readiness_mid|release_body_with|volume_release_with|prior_range_trap_high|session_pressure_high|spread_low|us_overlap,17212.5,17202.94,17219.45,17202.94,8.91,1,target,14.45,1.9,0.65
rw_001,124258,2024-02-01 16:50:00,2024-02-01 16:55:00,-1,0.192276,short|trap_compressed|inside_close_dense|boundary_pressure_mid|breakout_attempt_absent|false_break_low|expansion_readiness_high|release_body_with|volume_release_with|prior_range_trap_high|session_pressure_mid|spread_low|us_overlap,17209.2,17194.64,17219.79,17194.64,14.16,2,target,27.9,9.05,0.4
rw_001,124266,2024-02-01 17:30:00,2024-02-01 17:30:00,1,0.221698,long|trap_loose|inside_close_dense|boundary_pressure_high|breakout_attempt_forceful|false_break_low|expansion_readiness_mid|release_body_with|volume_release_mixed|prior_range_trap_high|session_pressure_high|spread_low|late_session,17264.25,17250.73,17250.73,17282.85,-13.79,1,stop,2.35,14.95,0.27
rw_001,124272,2024-02-01 18:00:00,2024-02-01 18:05:00,-1,0.235444,short|trap_loose|inside_close_dense|boundary_pressure_high|breakout_attempt_absent|false_break_low|expansion_readiness_mid|release_body_with|volume_release_with|prior_range_trap_high|session_pressure_high|spread_low|late_session,17169.0,17184.53,17184.53,17147.65,-15.53,2,stop,9.25,20.45,0.0
rw_001,124286,2024-02-01 19:10:00,2024-02-01 19:15:00,1,0.150855,long|trap_compressed|inside_close_mixed|boundary_pressure_high|breakout_attempt_forceful|false_break_low|expansion_readiness_mid|release_body_with|volume_release_mixed|prior_range_trap_high|session_pressure_high|spread_mid|late_session,17280.3,17261.99,17261.99,17305.48,-18.31,2,stop,6.6,19.8,0.0
rw_001,124297,2024-02-01 20:05:00,2024-02-01 20:10:00,-1,0.167485,short|trap_compressed|inside_close_dense|boundary_pressure_mid|breakout_attempt_absent|false_break_low|expansion_readiness_mid|release_body_with|volume_release_mixed|prior_range_trap_high|session_pressure_high|spread_low|late_session,17239.6,17259.05,17259.05,17212.85,-20.7,2,stop,14.6,30.75,1.25
rw_001,124304,2024-02-01 20:40:00,2024-02-01 20:45:00,-1,0.221418,short|trap_tight|inside_close_mixed|boundary_pressure_mid|breakout_attempt_absent|false_break_low|expansion_readiness_mid|release_body_with|volume_release_with|prior_range_trap_high|session_pressure_high|spread_low|late_session,17244.0,17263.89,17263.89,17216.65,-20.07,2,stop,5.35,30.2,0.18
rw_001,124488,2024-02-02 13:00:00,2024-02-02 13:15:00,-1,0.153955,short|trap_tight|inside_close_dense|boundary_pressure_mid|breakout_attempt_absent|false_break_low|expansion_readiness_mid|release_body_with|volume_release_mixed|prior_range_trap_high|session_pressure_mid|spread_low|europe_morning,17512.05,17519.09,17519.09,17502.37,-8.44,4,stop,7.15,7.35,1.4
rw_001,124504,2024-02-02 14:20:00,2024-02-02 14:25:00,1,0.174905,long|trap_tight|inside_close_dense|boundary_pressure_high|breakout_attempt_forceful|false_break_low|expansion_readiness_high|release_body_with|volume_release_mixed|prior_range_trap_high|session_pressure_mid|spread_high|us_overlap,17530.0,17539.42,17523.15,17539.42,8.02,2,target,16.3,4.8,1.4
