fold_id,signal_time,entry_time,exit_time,direction,score,entry_price,exit_price,stop_price,target_price,bars_held,exit_reason
rw_001,2024.02.01 16:00:00,2024.02.01 16:05:00,2024.02.01 16:10:00,short,0.12529,17222.85,17231.17,17231.17,17211.4,2,stop
rw_001,2024.02.01 16:50:00,2024.02.01 16:55:00,2024.02.01 16:55:00,short,0.114791,17208.55,17193.44,17219.54,17193.44,1,target
rw_001,2024.02.01 17:35:00,2024.02.01 17:40:00,2024.02.01 17:40:00,short,0.160395,17251.75,17232.22,17265.95,17232.22,1,target
rw_001,2024.02.01 18:25:00,2024.02.01 18:30:00,2024.02.01 18:30:00,long,0.146744,17176.5,17199.47,17159.8,17199.47,1,target
rw_001,2024.02.01 18:55:00,2024.02.01 19:00:00,2024.02.01 19:00:00,short,0.1166,17220.3,17238.28,17238.28,17195.58,1,stop
rw_001,2024.02.01 19:35:00,2024.02.01 19:40:00,2024.02.01 19:45:00,short,0.149714,17238.55,17257.34,17257.34,17212.71,2,stop
rw_001,2024.02.01 20:25:00,2024.02.01 20:30:00,2024.02.01 20:30:00,short,0.119548,17269.2,17289.43,17289.43,17241.39,1,stop
rw_001,2024.02.01 20:55:00,2024.02.01 21:00:00,2024.02.01 21:05:00,short,0.155575,17270.75,17290.75,17290.75,17243.26,2,stop
rw_001,2024.02.02 11:50:00,2024.02.02 11:55:00,2024.02.02 12:05:00,short,0.143617,17513.25,17504.04,17519.94,17504.04,3,target
rw_001,2024.02.02 13:20:00,2024.02.02 13:25:00,2024.02.02 13:30:00,short,0.099892,17512.45,17519.49,17519.49,17502.77,2,stop
rw_001,2024.02.02 16:45:00,2024.02.02 16:50:00,2024.02.02 16:50:00,short,0.183498,17488.4,17470.46,17501.45,17470.46,1,target
rw_001,2024.02.02 17:15:00,2024.02.02 17:20:00,2024.02.02 17:20:00,short,0.154969,17495.2,17511.17,17511.17,17473.24,1,stop
rw_001,2024.02.02 17:55:00,2024.02.02 18:00:00,2024.02.02 18:00:00,short,0.239801,17542.55,17515.41,17562.28,17515.41,1,target
rw_001,2024.02.02 19:05:00,2024.02.02 19:10:00,2024.02.02 19:20:00,short,0.236889,17603.4,17625.73,17625.73,17572.7,3,stop
rw_001,2024.02.02 20:05:00,2024.02.02 20:10:00,2024.02.02 20:15:00,short,0.191828,17614.4,17636.63,17636.63,17583.83,2,stop
rw_001,2024.02.02 20:50:00,2024.02.02 20:55:00,2024.02.02 21:00:00,short,0.135719,17626.6,17648.14,17648.14,17596.98,2,stop
rw_001,2024.02.05 13:45:00,2024.02.05 13:50:00,2024.02.05 13:50:00,long,0.127222,17617.05,17610.02,17610.02,17626.71,1,stop
rw_001,2024.02.05 16:50:00,2024.02.05 16:55:00,2024.02.05 16:55:00,long,0.199289,17594.6,17606.57,17585.9,17606.57,1,target
rw_001,2024.02.05 17:20:00,2024.02.05 17:25:00,2024.02.05 17:30:00,long,0.165477,17528.95,17517.58,17517.58,17544.58,2,stop
rw_001,2024.02.05 18:05:00,2024.02.05 18:10:00,2024.02.05 18:30:00,long,0.158447,17520.95,17539.93,17507.15,17539.93,5,target
rw_001,2024.02.05 18:50:00,2024.02.05 18:55:00,2024.02.05 19:05:00,long,0.166839,17553.1,17574.07,17537.85,17574.07,3,target
rw_001,2024.02.05 19:20:00,2024.02.05 19:25:00,2024.02.05 19:35:00,long,0.160977,17591.65,17613.36,17575.86,17613.36,3,target
rw_001,2024.02.05 20:00:00,2024.02.05 20:05:00,2024.02.05 20:10:00,long,0.171849,17603.25,17625.66,17586.95,17625.66,2,target
rw_001,2024.02.05 20:40:00,2024.02.05 20:45:00,2024.02.05 21:25:00,long,0.166738,17597.2,17619.82,17580.75,17619.82,9,target
rw_001,2024.02.06 13:45:00,2024.02.06 13:50:00,2024.02.06 13:50:00,long,0.174794,17590.75,17600.74,17583.48,17600.74,1,target
rw_001,2024.02.06 16:50:00,2024.02.06 16:55:00,2024.02.06 16:55:00,long,0.20722,17592.15,17582.47,17582.47,17605.47,1,stop
rw_001,2024.02.06 17:50:00,2024.02.06 17:55:00,2024.02.06 18:05:00,long,0.167497,17539.35,17557.62,17526.06,17557.62,3,target
rw_001,2024.02.06 18:35:00,2024.02.06 18:40:00,2024.02.06 18:40:00,long,0.192836,17550.15,17535.43,17535.43,17570.39,1,stop
rw_001,2024.02.06 19:05:00,2024.02.06 19:10:00,2024.02.06 19:10:00,long,0.140469,17496.1,17479.97,17479.97,17518.28,1,stop
rw_001,2024.02.06 19:35:00,2024.02.06 19:40:00,2024.02.06 19:45:00,long,0.195573,17514.25,17496.69,17496.69,17538.4,2,stop
rw_001,2024.02.06 20:25:00,2024.02.06 20:30:00,2024.02.06 21:05:00,long,0.139203,17515.45,17496.37,17496.37,17541.69,8,stop
rw_001,2024.02.07 11:25:00,2024.02.07 11:30:00,2024.02.07 11:30:00,short,0.205592,17580.7,17585.89,17585.89,17573.56,1,stop
rw_001,2024.02.07 13:40:00,2024.02.07 13:45:00,2024.02.07 14:00:00,short,0.144696,17594.0,17586.79,17599.24,17586.79,4,target
rw_001,2024.02.07 16:40:00,2024.02.07 16:45:00,2024.02.07 16:45:00,short,0.131627,17644.9,17653.32,17653.32,17633.33,1,stop
rw_001,2024.02.07 17:15:00,2024.02.07 17:20:00,2024.02.07 17:20:00,short,0.132702,17722.2,17733.85,17733.85,17706.17,1,stop
rw_001,2024.02.07 18:10:00,2024.02.07 18:15:00,2024.02.07 18:15:00,short,0.122782,17759.0,17738.79,17773.7,17738.79,1,target
rw_001,2024.02.07 18:55:00,2024.02.07 19:00:00,2024.02.07 19:25:00,short,0.112544,17756.45,17734.18,17772.64,17734.18,6,target
rw_001,2024.02.07 19:25:00,2024.02.07 19:30:00,2024.02.07 19:35:00,short,0.086041,17729.8,17706.47,17746.77,17706.47,2,target
rw_001,2024.02.07 20:20:00,2024.02.07 20:25:00,2024.02.07 20:25:00,short,0.125877,17741.55,17760.19,17760.19,17715.92,1,stop
rw_001,2024.02.08 14:45:00,2024.02.08 14:50:00,2024.02.08 14:50:00,long,0.079027,17727.05,17721.67,17721.67,17734.45,1,stop
rw_001,2024.02.08 15:20:00,2024.02.08 15:25:00,2024.02.08 15:30:00,long,0.08489,17710.9,17705.34,17705.34,17718.54,2,stop
rw_001,2024.02.08 16:35:00,2024.02.08 16:40:00,2024.02.08 16:40:00,short,0.15084,17748.05,17738.28,17755.16,17738.28,1,target
rw_001,2024.02.08 18:05:00,2024.02.08 18:10:00,2024.02.08 18:10:00,short,0.143955,17782.35,17793.49,17793.49,17767.03,1,stop
rw_001,2024.02.08 18:40:00,2024.02.08 18:45:00,2024.02.08 18:50:00,short,0.191373,17775.55,17787.59,17787.59,17759.0,2,stop
rw_001,2024.02.08 19:30:00,2024.02.08 19:35:00,2024.02.08 19:40:00,short,0.126613,17792.4,17774.9,17805.13,17774.9,2,target
rw_001,2024.02.08 20:05:00,2024.02.08 20:10:00,2024.02.08 20:35:00,short,0.168986,17782.1,17795.26,17795.26,17764.0,6,stop
rw_001,2024.02.08 20:40:00,2024.02.08 20:45:00,2024.02.08 21:00:00,short,0.154901,17783.95,17765.99,17797.01,17765.99,4,target
rw_001,2024.02.09 13:40:00,2024.02.09 13:45:00,2024.02.09 14:00:00,short,0.13714,17834.45,17840.41,17840.41,17826.25,4,stop
rw_001,2024.02.09 17:00:00,2024.02.09 17:05:00,2024.02.09 17:05:00,short,0.14814,17846.55,17855.9,17855.9,17833.7,1,stop
rw_001,2024.02.09 17:35:00,2024.02.09 17:40:00,2024.02.09 17:45:00,short,0.151381,17897.4,17908.37,17908.37,17882.32,2,stop
rw_001,2024.02.09 18:05:00,2024.02.09 18:10:00,2024.02.09 18:25:00,short,0.143295,17910.55,17894.62,17922.14,17894.62,4,target
rw_001,2024.02.09 18:55:00,2024.02.09 19:00:00,2024.02.09 19:30:00,short,0.143308,17907.5,17920.36,17920.36,17889.81,7,stop
rw_001,2024.02.09 19:35:00,2024.02.09 19:40:00,2024.02.09 19:45:00,short,0.062676,17914.25,17926.5,17926.5,17897.41,2,stop
rw_001,2024.02.09 20:10:00,2024.02.09 20:15:00,2024.02.09 20:25:00,short,0.103806,17940.6,17952.34,17952.34,17924.46,3,stop
rw_001,2024.02.09 20:40:00,2024.02.09 20:45:00,2024.02.09 21:20:00,short,0.056097,17947.8,17958.88,17958.88,17932.56,8,stop
rw_001,2024.02.12 11:35:00,2024.02.12 11:40:00,2024.02.12 11:45:00,short,-0.031932,17969.55,17973.58,17973.58,17964.01,2,stop
rw_001,2024.02.12 13:30:00,2024.02.12 13:35:00,2024.02.12 13:35:00,short,-0.022436,17966.7,17960.41,17971.27,17960.41,1,target
rw_001,2024.02.12 17:25:00,2024.02.12 17:30:00,2024.02.12 17:30:00,short,0.026353,17948.75,17955.68,17955.68,17939.22,1,stop
rw_001,2024.02.12 17:55:00,2024.02.12 18:00:00,2024.02.12 18:00:00,short,0.016161,17995.6,17984.58,18003.61,17984.58,1,target
rw_001,2024.02.12 18:35:00,2024.02.12 18:40:00,2024.02.12 18:45:00,short,0.025127,18024.55,18012.12,18033.59,18012.12,2,target
rw_001,2024.02.12 19:05:00,2024.02.12 19:10:00,2024.02.12 19:20:00,short,0.051241,18013.9,18000.01,18024.0,18000.01,3,target
rw_001,2024.02.12 19:40:00,2024.02.12 19:45:00,2024.02.12 19:45:00,short,0.089929,17991.0,18001.84,18001.84,17976.09,1,stop
rw_001,2024.02.12 20:40:00,2024.02.12 20:45:00,2024.02.12 20:55:00,long,0.111532,17920.6,17937.49,17908.31,17937.49,3,target
rw_001,2024.02.13 15:35:00,2024.02.13 15:40:00,2024.02.13 15:40:00,long,0.154571,17605.85,17595.25,17595.25,17620.43,1,stop
rw_001,2024.02.13 16:30:00,2024.02.13 16:35:00,2024.02.13 16:35:00,long,0.150217,17551.1,17569.99,17537.36,17569.99,1,target
rw_001,2024.02.13 17:15:00,2024.02.13 17:20:00,2024.02.13 17:20:00,long,0.129576,17598.35,17622.77,17580.59,17622.77,1,target
rw_001,2024.02.13 18:00:00,2024.02.13 18:05:00,2024.02.13 18:15:00,long,0.13374,17682.4,17660.86,17660.86,17712.02,3,stop
rw_001,2024.02.13 18:30:00,2024.02.13 18:35:00,2024.02.13 18:55:00,long,0.153013,17662.5,17640.09,17640.09,17693.32,5,stop
rw_001,2024.02.13 19:00:00,2024.02.13 19:05:00,2024.02.13 19:10:00,long,0.158444,17643.55,17619.9,17619.9,17676.07,2,stop
rw_001,2024.02.13 20:10:00,2024.02.13 20:15:00,2024.02.13 20:35:00,long,0.141226,17613.7,17593.15,17593.15,17641.96,5,stop
rw_001,2024.02.13 20:55:00,2024.02.13 21:00:00,2024.02.13 21:00:00,long,0.109896,17580.5,17562.28,17562.28,17605.55,1,stop
rw_001,2024.02.14 10:30:00,2024.02.14 10:35:00,2024.02.14 10:40:00,short,0.079564,17669.4,17674.23,17674.23,17662.76,2,stop
rw_001,2024.02.14 16:30:00,2024.02.14 16:35:00,2024.02.14 16:35:00,short,0.137765,17712.2,17701.35,17720.09,17701.35,1,target
rw_001,2024.02.14 17:05:00,2024.02.14 17:10:00,2024.02.14 17:15:00,short,0.16371,17718.85,17729.52,17729.52,17704.18,2,stop
rw_001,2024.02.14 17:35:00,2024.02.14 17:40:00,2024.02.14 17:40:00,short,0.107087,17734.5,17717.11,17747.15,17717.11,1,target
rw_001,2024.02.14 18:30:00,2024.02.14 18:35:00,2024.02.14 18:40:00,short,0.167503,17679.4,17657.65,17695.22,17657.65,2,target
rw_001,2024.02.14 19:35:00,2024.02.14 19:40:00,2024.02.14 19:45:00,short,0.175316,17689.3,17707.77,17707.77,17663.91,2,stop
rw_001,2024.02.14 20:05:00,2024.02.14 20:10:00,2024.02.14 20:10:00,short,0.128564,17691.5,17666.02,17710.03,17666.02,1,target
rw_001,2024.02.14 20:40:00,2024.02.14 20:45:00,2024.02.14 21:00:00,short,0.165521,17716.15,17690.14,17735.07,17690.14,4,target
rw_001,2024.02.15 15:30:00,2024.02.15 15:35:00,2024.02.15 15:35:00,short,0.209511,17835.75,17841.45,17841.45,17827.91,1,stop
rw_001,2024.02.15 16:00:00,2024.02.15 16:05:00,2024.02.15 16:05:00,short,0.136214,17818.25,17808.52,17825.32,17808.52,1,target
rw_001,2024.02.15 17:20:00,2024.02.15 17:25:00,2024.02.15 17:25:00,long,0.189075,17771.6,17760.0,17760.0,17787.55,1,stop
rw_001,2024.02.15 17:55:00,2024.02.15 18:00:00,2024.02.15 18:00:00,long,0.188783,17769.65,17755.7,17755.7,17788.84,1,stop
rw_001,2024.02.15 18:25:00,2024.02.15 18:30:00,2024.02.15 18:50:00,long,0.170229,17755.35,17739.33,17739.33,17777.38,5,stop
rw_001,2024.02.15 18:55:00,2024.02.15 19:00:00,2024.02.15 19:15:00,long,0.195362,17758.7,17782.16,17741.64,17782.16,4,target
