fold_id,signal_index,entry_time,exit_time,direction,score,state_key,entry_price,exit_price,stop_price,target_price,pnl_points,bars_held,exit_reason,mfe_points,mae_points,spread_points
rw_001,124239,2024-02-01 15:15:00,2024-02-01 15:15:00,1,0.206803,long|opening_energy_defined|transfer_aligned|midday_energy_reexpanding|late_pressure_aligned|prior_open_impulse_aligned|early_range_carry_sustained|directional_efficiency_against|time_phase_transfer_mixed|prior_energy_against|session_phase_core|spread_low|us_overlap,17212.5,17205.55,17205.55,17222.06,-7.6,1,stop,1.9,14.45,0.65
rw_001,124255,2024-02-01 16:35:00,2024-02-01 16:35:00,1,0.210746,long|opening_energy_quiet|transfer_aligned|midday_energy_reexpanding|late_pressure_aligned|prior_open_impulse_aligned|early_range_carry_sustained|directional_efficiency_choppy|time_phase_transfer_mixed|prior_energy_against|session_phase_core|spread_low|us_overlap,17229.35,17220.05,17220.05,17242.14,-9.9,1,stop,3.7,21.6,0.6
rw_001,124262,2024-02-01 17:10:00,2024-02-01 17:10:00,1,0.196939,long|opening_energy_quiet|transfer_mixed|midday_energy_reexpanding|late_pressure_aligned|prior_open_impulse_aligned|early_range_carry_sustained|directional_efficiency_choppy|time_phase_transfer_fading|prior_energy_against|session_phase_late|spread_low|late_session,17248.7,17236.49,17236.49,17265.49,-12.34,1,stop,4.7,18.7,0.13
rw_001,124268,2024-02-01 17:40:00,2024-02-01 17:40:00,1,0.258008,long|opening_energy_quiet|transfer_mixed|midday_energy_reexpanding|late_pressure_aligned|prior_open_impulse_aligned|early_range_carry_sustained|directional_efficiency_clean|time_phase_transfer_fading|prior_energy_neutral|session_phase_late|spread_low|late_session,17251.75,17237.55,17237.55,17271.28,-15.5,1,stop,1.25,21.25,1.3
rw_001,124279,2024-02-01 18:35:00,2024-02-01 18:50:00,1,0.235912,long|opening_energy_quiet|transfer_mixed|midday_energy_reexpanding|late_pressure_aligned|prior_open_impulse_aligned|early_range_carry_sustained|directional_efficiency_against|time_phase_transfer_fading|prior_energy_neutral|session_phase_late|spread_low|late_session,17206.4,17229.67,17189.48,17229.67,21.87,4,target,23.7,12.95,1.4
rw_001,124287,2024-02-01 19:15:00,2024-02-01 19:20:00,1,0.399924,long|opening_energy_quiet|transfer_mixed|midday_energy_reexpanding|late_pressure_aligned|prior_open_impulse_aligned|early_range_carry_sustained|directional_efficiency_clean|time_phase_transfer_mixed|prior_energy_against|session_phase_late|spread_low|late_session,17275.6,17256.87,17256.87,17301.35,-20.13,2,stop,5.15,25.35,1.4
rw_001,124295,2024-02-01 19:55:00,2024-02-01 19:55:00,1,0.36088,long|opening_energy_quiet|transfer_aligned|midday_energy_reexpanding|late_pressure_aligned|prior_open_impulse_aligned|early_range_carry_sustained|directional_efficiency_clean|time_phase_transfer_mixed|prior_energy_against|session_phase_late|spread_low|late_session,17296.05,17277.31,17277.31,17321.82,-20.14,1,stop,12.4,29.05,1.4
rw_001,124303,2024-02-01 20:35:00,2024-02-01 20:35:00,1,0.402753,long|opening_energy_quiet|transfer_mixed|midday_energy_reexpanding|late_pressure_aligned|prior_open_impulse_aligned|early_range_carry_sustained|directional_efficiency_clean|time_phase_transfer_mixed|prior_energy_against|session_phase_late|spread_low|late_session,17285.85,17265.8,17265.8,17313.42,-20.15,1,stop,5.25,49.2,0.1
rw_001,124520,2024-02-02 15:40:00,2024-02-02 15:40:00,-1,0.243598,short|opening_energy_quiet|transfer_aligned|midday_energy_neutral|late_pressure_aligned|prior_open_impulse_aligned|early_range_carry_sustained|directional_efficiency_clean|time_phase_transfer_mixed|prior_energy_against|session_phase_core|spread_low|us_overlap,17436.35,17444.55,17444.55,17425.07,-8.2,1,stop,2.05,37.7,0.0
rw_001,124530,2024-02-02 16:30:00,2024-02-02 16:30:00,-1,0.212398,short|opening_energy_quiet|transfer_mixed|midday_energy_neutral|late_pressure_aligned|prior_open_impulse_aligned|early_range_carry_sustained|directional_efficiency_clean|time_phase_transfer_fading|prior_energy_against|session_phase_core|spread_low|us_overlap,17411.0,17422.08,17422.08,17395.76,-11.08,1,stop,42.25,12.6,0.0
