fold_id,signal_time,entry_time,exit_time,direction,score,entry_price,exit_price,stop_price,target_price,bars_held,exit_reason
rw_001,2024.02.01 12:55:00,2024.02.01 13:00:00,2024.02.01 13:05:00,long,0.32672,17248.45,17239.96,17239.96,17260.12,2,stop
rw_001,2024.02.01 17:05:00,2024.02.01 17:10:00,2024.02.01 17:10:00,long,0.204724,17248.7,17236.49,17236.49,17265.49,1,stop
rw_001,2024.02.01 17:35:00,2024.02.01 17:40:00,2024.02.01 17:40:00,long,0.258851,17251.75,17237.55,17237.55,17271.28,1,stop
rw_001,2024.02.01 18:15:00,2024.02.01 18:20:00,2024.02.01 18:20:00,short,0.332842,17176.45,17192.71,17192.71,17154.09,1,stop
rw_001,2024.02.01 19:10:00,2024.02.01 19:15:00,2024.02.01 19:20:00,long,0.426936,17275.6,17256.87,17256.87,17301.35,2,stop
rw_001,2024.02.01 19:45:00,2024.02.01 19:50:00,2024.02.01 19:55:00,long,0.285643,17277.45,17302.68,17259.1,17302.68,2,target
rw_001,2024.02.01 20:15:00,2024.02.01 20:20:00,2024.02.01 20:30:00,long,0.29298,17268.25,17296.04,17248.04,17296.04,3,target
rw_001,2024.02.01 20:50:00,2024.02.01 20:55:00,2024.02.01 21:10:00,long,0.348666,17273.55,17301.16,17253.47,17301.16,4,target
rw_001,2024.02.02 13:55:00,2024.02.02 14:00:00,2024.02.02 14:05:00,long,0.243777,17522.55,17515.6,17515.6,17532.11,2,stop
rw_001,2024.02.02 15:35:00,2024.02.02 15:40:00,2024.02.02 15:40:00,short,0.239138,17436.35,17444.55,17444.55,17425.07,1,stop
rw_001,2024.02.02 16:25:00,2024.02.02 16:30:00,2024.02.02 16:30:00,short,0.224716,17411.0,17422.08,17422.08,17395.76,1,stop
rw_001,2024.02.02 18:20:00,2024.02.02 18:25:00,2024.02.02 18:30:00,long,0.226991,17549.6,17578.83,17528.34,17578.83,2,target
rw_001,2024.02.02 18:50:00,2024.02.02 18:55:00,2024.02.02 19:25:00,long,0.639681,17615.0,17645.47,17592.84,17645.47,7,target
rw_001,2024.02.02 20:00:00,2024.02.02 20:05:00,2024.02.02 20:25:00,long,0.262176,17625.3,17602.94,17602.94,17656.05,5,stop
rw_001,2024.02.02 20:40:00,2024.02.02 20:45:00,2024.02.02 21:00:00,long,0.297889,17621.5,17652.07,17599.27,17652.07,4,target
rw_001,2024.02.05 12:50:00,2024.02.05 12:55:00,2024.02.05 12:55:00,long,0.304937,17629.15,17622.44,17622.44,17638.37,1,stop
rw_001,2024.02.05 16:25:00,2024.02.05 16:30:00,2024.02.05 16:30:00,long,0.186071,17627.85,17620.85,17620.85,17637.48,1,stop
rw_001,2024.02.05 17:05:00,2024.02.05 17:10:00,2024.02.05 17:10:00,short,0.259652,17567.1,17576.84,17576.84,17553.7,1,stop
rw_001,2024.02.05 17:40:00,2024.02.05 17:45:00,2024.02.05 17:45:00,short,0.252933,17469.0,17481.47,17481.47,17451.85,1,stop
rw_001,2024.02.05 18:50:00,2024.02.05 18:55:00,2024.02.05 19:05:00,long,0.317971,17553.1,17574.07,17537.85,17574.07,3,target
rw_001,2024.02.05 19:35:00,2024.02.05 19:40:00,2024.02.05 19:45:00,long,0.556607,17620.65,17604.88,17604.88,17642.34,2,stop
rw_001,2024.02.05 20:10:00,2024.02.05 20:15:00,2024.02.05 20:15:00,long,0.409225,17624.7,17608.18,17608.18,17647.42,1,stop
rw_001,2024.02.05 20:45:00,2024.02.05 20:50:00,2024.02.05 20:55:00,long,0.229953,17599.1,17582.86,17582.86,17621.43,2,stop
rw_001,2024.02.06 15:15:00,2024.02.06 15:20:00,2024.02.06 16:00:00,long,0.340275,17642.05,17652.48,17634.46,17652.48,9,target
rw_001,2024.02.06 16:50:00,2024.02.06 16:55:00,2024.02.06 16:55:00,short,0.219113,17592.15,17578.83,17601.83,17578.83,1,target
rw_001,2024.02.06 17:20:00,2024.02.06 17:25:00,2024.02.06 17:25:00,short,0.246887,17523.25,17506.84,17535.19,17506.84,1,target
rw_001,2024.02.06 18:10:00,2024.02.06 18:15:00,2024.02.06 18:15:00,short,0.183225,17534.15,17548.18,17548.18,17514.86,1,stop
rw_001,2024.02.06 19:10:00,2024.02.06 19:15:00,2024.02.06 19:15:00,short,0.359726,17480.75,17496.99,17496.99,17458.42,1,stop
rw_001,2024.02.06 20:00:00,2024.02.06 20:05:00,2024.02.06 20:10:00,long,0.225412,17515.1,17496.65,17496.65,17540.47,2,stop
rw_001,2024.02.06 20:30:00,2024.02.06 20:35:00,2024.02.06 20:55:00,short,0.327131,17519.75,17538.94,17538.94,17493.36,5,stop
rw_001,2024.02.07 11:15:00,2024.02.07 11:20:00,2024.02.07 11:20:00,long,0.301812,17572.95,17579.77,17567.99,17579.77,1,target
rw_001,2024.02.07 16:25:00,2024.02.07 16:30:00,2024.02.07 16:30:00,long,0.293933,17686.0,17678.61,17678.61,17696.16,1,stop
rw_001,2024.02.07 17:10:00,2024.02.07 17:15:00,2024.02.07 17:15:00,long,0.257078,17721.75,17736.64,17710.92,17736.64,1,target
rw_001,2024.02.07 18:05:00,2024.02.07 18:10:00,2024.02.07 18:15:00,long,0.258068,17752.55,17738.15,17738.15,17772.36,2,stop
rw_001,2024.02.07 18:50:00,2024.02.07 18:55:00,2024.02.07 19:10:00,long,0.222148,17754.45,17738.52,17738.52,17776.36,4,stop
rw_001,2024.02.07 19:20:00,2024.02.07 19:25:00,2024.02.07 19:30:00,long,0.337469,17739.2,17722.37,17722.37,17762.35,2,stop
rw_001,2024.02.07 20:20:00,2024.02.07 20:25:00,2024.02.07 20:30:00,long,0.327492,17741.55,17767.18,17722.91,17767.18,2,target
rw_001,2024.02.07 20:50:00,2024.02.07 20:55:00,2024.02.07 21:30:00,long,0.543327,17764.7,17747.15,17747.15,17788.83,8,stop
rw_001,2024.02.08 13:25:00,2024.02.08 13:30:00,2024.02.08 13:30:00,short,0.172713,17711.45,17716.36,17716.36,17704.7,1,stop
rw_001,2024.02.08 16:25:00,2024.02.08 16:30:00,2024.02.08 16:30:00,long,0.181529,17743.25,17736.62,17736.62,17752.37,1,stop
rw_001,2024.02.08 17:40:00,2024.02.08 17:45:00,2024.02.08 17:45:00,long,0.163235,17763.35,17777.4,17753.13,17777.4,1,target
rw_001,2024.02.08 18:10:00,2024.02.08 18:15:00,2024.02.08 18:25:00,long,0.194744,17788.45,17777.27,17777.27,17803.82,3,stop
rw_001,2024.02.08 18:40:00,2024.02.08 18:45:00,2024.02.08 18:50:00,short,0.235176,17775.55,17787.59,17787.59,17759.0,2,stop
rw_001,2024.02.08 19:30:00,2024.02.08 19:35:00,2024.02.08 19:40:00,long,0.276123,17792.4,17779.67,17779.67,17809.9,2,stop
rw_001,2024.02.08 20:05:00,2024.02.08 20:10:00,2024.02.08 20:35:00,short,0.224333,17782.1,17795.26,17795.26,17764.0,6,stop
rw_001,2024.02.08 20:35:00,2024.02.08 20:40:00,2024.02.08 20:50:00,long,0.232653,17795.35,17782.08,17782.08,17813.6,3,stop
rw_001,2024.02.09 12:15:00,2024.02.09 12:20:00,2024.02.09 12:55:00,long,0.241499,17831.95,17826.46,17826.46,17839.5,8,stop
rw_001,2024.02.09 13:40:00,2024.02.09 13:45:00,2024.02.09 13:45:00,long,0.298742,17834.45,17828.49,17828.49,17842.65,1,stop
rw_001,2024.02.09 16:30:00,2024.02.09 16:35:00,2024.02.09 16:35:00,short,0.196771,17812.2,17802.05,17819.58,17802.05,1,target
rw_001,2024.02.09 17:30:00,2024.02.09 17:35:00,2024.02.09 17:45:00,long,0.266485,17893.1,17907.8,17882.41,17907.8,3,target
